Domestic Debt,Sub-Domestic Debt,Year,RM million
Government Securities,Others,2012,16007
Government Securities,Others,2013,10067
Government Securities,Others,2014,21059
Government Securities,Others,2015,14570
Government Securities,Others,2016,17579
Government Securities,Others,2017,15624
Government Securities,Others,2018,12495
Government Securities,Others,2019,19489
Other Domestic Borrowings,n.a,2012,44799
Other Domestic Borrowings,n.a,2013,44200
Other Domestic Borrowings,n.a,2014,46600
Other Domestic Borrowings,n.a,2015,50300
Other Domestic Borrowings,n.a,2016,30967
Other Domestic Borrowings,n.a,2017,28400
Other Domestic Borrowings,n.a,2018,28400
Other Domestic Borrowings,n.a,2019,26800
Treasury Bills,Banking institutions,2020,8657
Treasury Bills,Banking institutions (Foreign owners),2020,6045
Treasury Bills,Others,2020,799
Government Investment Issues,n.a,2020,374600
Government Securities,Employees Provident Fund,2020,90493
Government Securities,KWAP,2020,14597
Government Securities,Insurance companies,2020,25970
Government Securities,Bank Negara Malaysia,2020,14407
Government Securities,Banking institutions,2020,88198
Government Securities,Development Financial Institutions,2020,780
Government Securities,Foreign Holders,2020,175793
Government Securities,Others,2020,25749
Other Domestic Borrowings,n.a,2020,24766
Treasury Bills,Banking institutions,2021,19247
Treasury Bills,Banking institutions (Foreign owners),2021,7888
Treasury Bills,Others,2021,866
Government Investment Issues,n.a,2021,422600
Government Securities,Employees Provident Fund,2021,107175
Government Securities,KWAP,2021,18698
Government Securities,Insurance companies,2021,29860
Government Securities,Bank Negara Malaysia,2021,15795
Government Securities,Banking institutions,2021,100523
Government Securities,Development Financial Institutions,2021,720
Government Securities,Foreign Holders,2021,188024
Government Securities,Others,2021,510
Other Domestic Borrowings,n.a,2021,19544
